text,intent
during the weekend i often take the family out on short trips .,inform
whats the total of taxes from my income,inform
that ’ s horrible .,inform
have you got any plans for the coming holiday ?,question
"yes . behind a lifestyle , there is a culture . young people easily become blind worshippers of a westernized life . while they may not really like coffee , they think it desirable and enviable to be lavish with money in those high-consumption places .",inform
quite a number . actually every skyscraper has a history . a few blocks ahead we'll see st.patrick ' s cathedral and just across the street will be the world-renowed rockefeller center . it's a landmark in the history of architecture .,inform
do you know how late it is ?,question
can you turn the volume to 4,directive
"please fill out this form , please .",directive
how could you not notice it ?,question
"ok , sir . when will you be there ?",question
how many miles per gallon does it get on the highway,inform
so they limit it to one region of mexico . say the yucatan . you ’ ve been there and you said it ’ s got lots of interesting relics .,directive
i'm a little rushed . is there any quicker way to get there ?,question
"well , i ’ ve been meaning to talk to you about the situation in the office .",directive
at my apartment building .,inform
he is so kind . i couldn ’ t believe he murdered his wife .,inform
"yes , mr . foster , our hostess will be with you in just a moment .",inform
"oh , i think i should try to read one .",inform
i need an uber to the movies,directive
this television is of very high quality .,inform
show me a cool nintendo switch game,inform
what are good thai dishes,inform
yes . please .,inform
"one pair of 37 , and two pairs of 21 . one for me , and the other two for two kids .",inform
it is so very kind of you . i'm so moved by you .,inform
please print out the meeting agenda for me to look over .,directive
good ! where is it ?,question
when is the place available ?,question
"i wanted to talk to you about that , mr . eng . mr . emory would prefer to keep the deadline as is . we can start earlier if you ’ d like .",directive
i can't think the same .,inform
i want you to switch to whisper mode,inform
when was my last payday,inform
hello dr peters . just fine thank you . ricky and i are here for his vaccines .,greeting
"that's a good idea . let's see if we can get more people in this plan . there isn't much business these days anyway , so i think many people will be interested .",inform
heavy metal music is a lot different from rap music.you can dance to heavy metal .,inform
please skip this song and play the next one,inform
that quilt was passed down to me from my ma in holland .,inform
"well , then , you need an introduction . the school drama club is putting on a musical production . how about going together ?",directive
"sure . but it's a very difficult one , you need to have a dictionary at your elbow .",directive
do you hear something ?,question
"so , the quicker i pay it back , the more i can save in interest ? that's excellent . thanks so much for your information . i'll come in shortly to take the relevant steps for the loan .",gratitude
book room for me and her under the name kendra,directive
"alright , ma'am . what items would you like to order today ?",question
that would be wonderful . thank you so much for all of your help .,gratitude
what kind of people you find hard to work with ?,question
"it ’ s the job i ’ m interested in . and your company is the best-known . although i don ’ t have much experience as a manager , the job description you sent to me was very interesting . it ’ s a job i ’ ve been dreaming of and i feel suited to fill it .",inform
it has been delayed .,inform
how about tomorrow at 11 o'clock ?,directive
your feelings might be right . you should never walk alone there at night . it is too dangerous .,directive
that ’ s right . just call me if you need anything .,directive
"well , it was nice meeting you .",inform
"yes , i know . fast food is so popular in this district .",inform
don't you want to hear more about my statue ?,directive
i haven't ever cared for that myself .,inform
the line sure does move fast .,inform
i can ’ t stand being with you anymore . i'm sick of your drinking .,inform
"on the contrary , i have been reading a lot of books about the subject .",inform
"that's fine , because if i leave , then your rules won't matter .",commissive
"i like almost all sports , and i enjoy both playing and watching . i especially like tennis and mountain climbing . i was in the climbing club all through school .",inform
signing the registry is a good idea . i think i want to see the kitchen next .,inform
where's my book ?,question
can you add apples to my shopping list if they aren't already on there,directive
make the volume 4,directive
"yes , they confirm your appointment . please come in . it is on the 3rd floor , room 3106 . you can take the right elevator as the left on is in maintenance today .",directive
how healthy is tacos,question
but you don't live at home anymore .,inform
help ! help !,directive
i think it ’ s important to do now . we can have a birthday party for you when you come out of the hospital .,directive
i took out a life insurance policy and made your mother the beneficiary .,inform
i need to schedule a meeting,directive
i can tell you right now that your prices are a little higher than we expected .,directive
where did you get assigned to go this time around ?,question
hello ! is your company advertising for administrative assistant on the newspapers ?,greeting
later this month . i can't wait !,inform
please let me review all items on my mastercard from this billing period,inform
our policy doesn ’ t allow anyone to check out the magazines .,inform
you're funny .,inform
the band is pretty good . how do you like the music ?,question
that's true . i guess we ’ ll have to keep looking for a manager then .,directive
"what's the date tomorrow, please",question
what prompted you to apply to this company ?,question
"well , what would you like to talk to me about ?",directive
what do the ratings say for black bear diner,question
mr . phillips ? i have a request here from purchasing that needs your approval .,directive
i want to pay my bill through the app,inform
"to be honest , i really wasn't .",inform
"good evening , madam . can i help you ?",question
"yeah , this is my first visit here .",confirmation
do you know what the meaning of life is,question
"of course . reservations aren't necessary , but we recommend them as our restaurant can get quite busy .",inform
my interest rate please,inform
that obviously depends on how things go - - whether i'm suited to the firm and the firm to me .,inform
let's go to the lake and camp on the south side .,inform
fill out the paperwork for tonys new daycare center,inform
"reservation , can i help you ?",question
congratulations on being a part of history .,inform
where would the routing number for first utah be located,inform
i just graduated from high school .,inform
"ok , no problem . what class of service would you like - soft sleeper or hard sleeper ?",question
how about rock and roll 。,question
"yes , i have known of it .",inform
"huh ? i can ’ t hear you , the music ’ s too loud .",question
are any earning reports due,inform
thank you . i think i will go there .,gratitude
"ok , i understand , but what else could we do ?",question
how good are the ratings for the olive garden,question
what's your relationship with the victim ?,question
absolutely . several men have tried it in my a shop . do you want to try ?,directive
"good , morning ! can i help you ?",question
"yes , something just opened up .",inform
i am not very sure . maybe for three days .,inform
you know what ? i ’ ll just have everything dry cleaned .,commissive
harris and anne are perfect for each other .,inform
"mm , so what are you going to miss about japan ?",question
"w-y-a-t-t , mark wyatt .",commissive
"yes , it has been conquered by many people in history .",inform
what do you think is the meaning of life,question
"well , he sure was lucky .",inform
"oh yes , how's she getting on ?",question
there will be about 18 people .,inform
when's the next time i should go for an oil change,inform
i will call you when i find it .,directive
i wanna know some things to do in phoenix,question
"excuse me . i get confused that the two phones on the booth are different , can you tell me how to use them ?",directive
you mean she bosses her husband around ?,question
what were the things i want to recall,directive
how much will i pay in state taxes,inform
what's the time in tokyo,question
correct . could i convert that into rib ?,directive
ok . let's go and see .,directive
