text,intent
what expression would i use to say i love you if i were an italian,question
"can you tell me how to say 'i do not speak much spanish', in spanish",question
"what is the equivalent of, 'life is good' in french",question
"tell me how to say, 'it is a beautiful morning' in italian",question
"if i were mongolian, how would i say that i am a tourist",question
how do i say 'hotel' in finnish,question
"i need you to translate the sentence, 'we will be there soon' into portuguese",question
please tell me how to ask for a taxi in french,question
"can you tell me how i would say, 'more bread please' in french",question
what is the correct way to say 'i am a visitor' in french,question
"how would i say, 'i don't know the answer' in spanish",question
i would like to know the proper way to greet an adult in portuguese,question
what words would i use to tell someone i am lost if i were japanese,question
how would i say thank you if i were russian,question
can you tell me how i would normally say thank you as a french person,question
i would like to know how to say hello in french,question
if i were english how would i say subway,question
i would i say subway if i were english,question
how do you say hi in french,question
in england how do they say subway,question
translate hello in french,question
how is hello said in french,question
what do you call a subway if you were english,question
how would i say if i were english subway,question
how should i say hello in french,question
how could i say twin in chinese,question
how can i say not now in spanish,question
what do spanish people say for the word cow,question
translate hello to english,question
how do you say goodbye in spanish,question
how would i say love in french,question
could you translate atm machine into english,question
please translate grocery into french for me,question
how do germans say goodnight,question
tell me how the russians say notebook,question
how do vietnameses people say hello,question
how do i say thank you in japanese,question
what is latin for i love you,question
how can i thank somebody in italian,question
how do i say you're welcome in chinese,question
translate hello english to french,question
what is hello in french,question
what phrase means goodbye in hawaii,question
what spanish word means hello,question
translate hello to french,question
translate english to french hello,question
what is the word for hello spanish,question
how do they say goodbye in hawaii,question
what's local slang for goodbye in hawaii,question
how do you say hello in french,question
tell me how to say hello in spanish,question
what do i say for goodbye in hawaii,question
translate hello into french for me,question
how do i say hello in french,question
translate for me hello into french,question
how would they say say goodbye in hawaii,question
what is spanish for hello,question
how would i say hello in french,question
how can i say i love you in italy,question
what is spanish for good morning,question
how do you say it's snowing in german,question
how would you say can i borrow five dollars in portuguese,question
do you know how to say where is the restroom in french,question
how would i say pleased to meet you if i were japanese,question
can you translate hello into swedish for me,question
can you translate i love you into french for me,question
can you translate where's the bar into irish for me,question
how would i say goodbye if i were norwegian,question
how would i say i love you if i were french,question
how would i say hello if i were swedish,question
can you translate good bye into russian for me,question
can you translate i have to go pee into korean for me,question
how would i say i'm not guilty if i were mexican,question
how do you say thank you in spanish,question
how does one say thank you in spanish,question
how can i say thank you in spanish,question
what is thank you in spanish,question
what is the way to say thank you in spanish,question
"how do they say ""who is your father"" in german",question
"how do they say ""where's the bathroom"" in spanish",question
"how do they say ""how's it going"" in swahili",question
"how do they say ""i love you"" in japanese",question
"how do they say ""what's up"" in chinese",question
how do you say thank you in german,question
how do you say please in arabic,question
how do you say cat in spanish,question
how do you say i'm hungry in french,question
how do you say i need coffee in dutch,question
how do they say yes in brazil,question
can you translate cat into russian for me,question
can you translate bowl into russian for me,question
how do they say hello in france,question
i wanna know a phrase in spanish,question
can you translate bat into russian for me,question
how do they say no in germany,question
can you translate hi into spanish for me,question
i wanna learn a phrase in russian,question
how do they say hello in germany,question
can you translate milk into spanish for me,question
how do they say hello in brazil,question
i need $20000 transferred from my savings to my checking,inform
complete a transaction from savings to checking of $20000,inform
transfer $20000 from my savings account to checking account,inform
take $20000 from savings and put it in checking,inform
put $20000 into my checking account from my savings account,inform
send 100 dollars between bank of the west and bank of america acccounts,inform
send 50 dollars between bank of america and chase accounts,inform
send 2000 dollars between chase and rabobank accounts,inform
send 1200 dollars between usaa and navy federal accounts,inform
send 400 dollars between city bank and usaa accounts,inform
take $40 and transfer it to account a from b,inform
transfer $40 from account a to b,inform
move $40 from account b to account a,inform
put $40 from account a to b,inform
take $40 from account a and transfer it to account b,inform
i need to transfer from this account to that one,inform
need to transfer from one account to my other one,inform
i would like to transfer from one account to my second one,inform
i need to transfer from one account to my second one,inform
i have to transfer from one account to my other one,inform
send fifty dollars from me to carrie,inform
transfer sixty dollars to dad from my biggest accnt,inform
send over a hundred dollars from huntington into saving,inform
move 57 dollars from saving into mom,inform
transfer two hundred dollars between my portfolio and my money market account,inform
i need to transfer ten dollars from my bank of america account to my capital one account,inform
go ahead and send ten dollars from bank of america to capital one,inform
i must transfer ten dollars from my bank of america account to my capital one account,inform
i got to transfer ten dollars from my bank of america account to my capital one account,inform
i want you to send ten dollars from bank of america to capital one,inform
i need you to send ten dollars from bank of america to capital one,inform
i have to transfer ten dollars from my bank of america account to my capital one account,inform
send ten dollars from bank of america to capital one,inform
please send ten dollars from bank of america to capital one,inform
make a transfer of $200 from my savings account to my checking account,inform
please transfer $250 from checking to savings,inform
transfer $500 from my checking to my savings,inform
please transfer $100 from my checking to my savings account,inform
transfer $500 from my money market savings account to my checking account,inform
send money from one account to another,inform
transfer 200 dollars from paypal to savings,inform
transfer $10 from checking to savings,inform
send $100 from paypal to my bank,inform
please transfer 100 dollars between my amazon payments and savings accounts,inform
i would like to make a transfer,inform
i want to transfer funds between accounts,inform
send over 50 dollars between my shared and not shared accounts,inform
whats the quickest way to money from one account to another,inform
what is the process to move money from one account to another,inform
i need you to send 500 dollars from my high tier account to my regular checking account,inform
can you transfer money from a to b,inform
send my money between accounts,inform
how can i send money from one account to another,inform
i need to move money from one account to another,inform
send $20 from debit to steve's account,inform
send 20 dollars from savings to checking,inform
please transfer my funds,inform
please transfer $50 to my checking account from credit,inform
go ahead and move $200 from amazon to my bank account,inform
help me move my money,inform
i need my money to be moved,inform
help me move my money please,inform
i need to move my money,inform
move my money please,inform
i would like to transfer $5 from savings to checking,inform
transfer $5 from savings to checking,inform
can you transfer $5 from savings to checking,inform
send $5 from savings to checking,inform
please transfer $5 from savings to checking,inform
please switch $s checking to mortage,inform
please transfer $s from saving to checking,inform
could you transfer $x from saving to checking,inform
help me transfer $x from credit to debit,inform
please transfer $x from checking to saving,inform
transfer money to another account,inform
requesting money transfer between accounts,inform
transfer money from this account to that account,inform
can you transfer money from my account,inform
money transfer request,inform
send 100 dollars from checking to savings,inform
transfer 100 dollars checking to savings,inform
transfer 100 dollars between checking and savings,inform
take 100 dollars from checking and send it to savings,inform
move 100 dollars from checking to savings,inform
can we wire some money over to the other account i have,inform
time to move some cash from one account to another,inform
i need to throw some money into that other account,inform
let's send some money to another account,inform
i want to initiate a transfer from one account to the other,inform
transfer money from one place to another,inform
move money from one account to another,inform
transfer between two accounts,inform
make a transfer between accounts,inform
send money to another account,inform
i need ten dollars sent from b of a to washington mutual,inform
transfer fifty dollars between my chase and bank of america account,inform
deposit ten bucks from my chase account to my ally account,inform
put a hundred dollars in my ally account from bluebird,inform
i want seventy bucks transferred from b of a to chase,inform
can i initiate a one-time transfer from my savings account to my money market account,inform
please set a 4 minute timer,directive
please set a timer for 6 minutes,directive
set a timer for 5 minutes,directive
i need a 7 minute timer,directive
i need to set the timer for two minutes,directive
can you set a timer for me for fifteen minutes starting now,directive
start the timer now and stop at thirty minutes,directive
i would like you to set the timer to go off in ten minutes,directive
please set a timer for 40 minutes,directive
wake me in an hour,directive
please set a timer for cookies,directive
i want a timer set,directive
remind me in (x) hours,directive
set timer for (x) minutes,directive
i gotta have a 10 minute timer,directive
please set a timer for me,directive
i need a 10 minute timer,directive
i wish to have a 10 minute timer,directive
i really need to set a timer,directive
set a new timer for ten seconds,directive
set a timer for me,directive
i want a 10 minute timer,directive
i gotta set a timer,directive
set a 10 minute timer,directive
set a brand new timer for eight seconds,directive
set a ten second timer,directive
i must set a timer,directive
set a timer for twelve seconds,directive
set a timer for fifteen seconds,directive
tell me when two minutes are up,directive
start a timer for two minutes,directive
set a timer for two minutes,directive
start counting down from two minutes,directive
can you set a timer for two minutes,directive
"""please set 5 minute timer",directive
can u please set the timer for 5 minutes,directive
