text,intent
"say , jim , how about going for a few beers after dinner ?",directive
you know that is tempting but is really not good for our fitness .,commissive
what do you mean ? it will help us to relax .,question
do you really think so ? i don't . it will just make us fat and act silly . remember last time ?,question
i guess you are right.but what shall we do ? i don't feel like sitting at home .,question
i suggest a walk over to the gym where we can play singsong and meet some of our friends .,directive
that's a good idea . i hear mary and sally often go there to play pingpong.perhaps we can make a foursome with them .,commissive
"sounds great to me ! if they are willing , we could ask them to go dancing with us.that is excellent exercise and fun , too .",inform
good.let ' s go now .,directive
all right .,commissive
can you do push-ups ?,question
"of course i can . it's a piece of cake ! believe it or not , i can do 30 push-ups a minute .",inform
really ? i think that's impossible !,question
you mean 30 push-ups ?,question
yeah !,confirmation
"it's easy . if you do exercise everyday , you can make it , too .",inform
can you study with the radio on ?,question
"no , i listen to background music .",inform
what is the difference ?,question
the radio has too many comerials .,inform
"that's true , but then you have to buy a record player .",inform
are you all right ?,question
i will be all right soon . i was terrified when i watched them fall from the wire .,inform
don't worry.he is an acrobat 。,inform
i see .,inform
"hey john , nice skates . are they new ?",greeting
"yeah , i just got them . i started playing ice hockey in a community league . so , i finally got myself new skates .",confirmation
what position do you play ?,question
i ’ m a defender . it ’ s a lot of fun . you don ’ t have to be able to skate as fast on defense .,inform
"yeah , you ’ re a pretty big guy . i play goalie , myself .",confirmation
"oh , yeah ? which team ?",question
the rockets .,inform
"really ? i think we play you guys next week . well , i have to go to practice . see you later .",directive
"all right , see you later .",commissive
"hey lydia , what are you reading ?",greeting
"i ’ m looking at my horoscope for this month ! my outlook is very positive . it says that i should take a vacation to someplace exotic , and that i will have a passionate summer fling !",inform
what are you talking about ? let me see that ... what are horoscopes ?,question
"it ’ s a prediction of your month , based on your zodiac sign . you have a different sign for the month and date you were born in . i was born on april 15th , so i ’ m an aries . when were you born ?",question
january 5th .,inform
"let ’ s see . . . you ’ re a capricorn . it says that you will be feeling stress at work , but you could see new , exciting developments in your love life . looks like we ’ ll both have interesting summers !",inform
"that ’ s bogus . i don't feel any stress at work , and my love life is practically nonexistent . this zodiac stuff is all a bunch of nonsense .",inform
"no , it ’ s not , your astrology sign can tell you a lot about your personality . see ? it says that an aries is energetic and loves to socialize .",inform
"well , you certainly match those criteria , but they ’ re so broad they could apply to anyone . what does it say about me ?",question
a capricorn is serious-minded and practical . she likes to do things in conventional ways . that sounds just like you !,inform
"frank ’ s getting married , do you believe this ?",question
is he really ?,question
"yes , he is . he loves the girl very much .",inform
who is he marring ?,question
"a girl he met on holiday in spain , i think .",inform
have they set a date for the wedding ?,question
not yet .,inform
i hear you bought a new house in the northern suburbs .,inform
"that ’ s right , we bought it the same day we came on the market .",inform
what kind of house is it ?,question
it ’ s a wonderful spanish style .,inform
"oh , i love the roof tiles on spanish style houses .",inform
and it ’ s a bargaining . a house like this in river side costs double the price .,inform
"great , is it a two bedroom house ?",question
"no , it has three bedrooms and three beds , and has a living room with a twelve-foot ceiling . there ’ s a two-car garage .",inform
that ’ s a nice area too . it ’ ll be a good investment for you .,inform
"yeas , when will you buy a house ?",question
"not untill the end of this year , you know , just before my wedding .",inform
"right , congratulations .",inform
thank you .,gratitude
"hi , becky , what's up ?",greeting
"not much , except that my mother-in-law is driving me up the wall .",inform
what's the problem ?,question
she loves to nit-pick and criticizes everything that i do . i can never do anything right when she's around .,inform
for example ?,question
"well , last week i invited her over to dinner . my husband and i had no problem with the food , but if you listened to her , then it would seem like i fed her old meat and rotten vegetables . there's just nothing can please her .",inform
"no , i can't see that happening . i know you're a good cook and nothing like that would ever happen .",inform
it's not just that . she also criticizes how we raise the kids .,inform
"my mother-in-law used to do the same thing to us . if it wasn't disciplining them enough , then we were disciplining them too much . she also complained about the food we fed them , the schools we sent them too , and everything else under the sun .",inform
you said she used to ? how did you stop her ?,question
"we basically sat her down and told her how we felt about her constant criticizing , and how we welcomed her advice but hoped she'd let us do our things . she understood , and now everything is a lot more peaceful .",inform
that sounds like a good idea . i'll have to try that .,inform
how are zina's new programmers working out ?,question
"i hate to admit it , but they're good . and fast . the filipino kid is a genius .",inform
"so you'll make the stars.com deadline , and have us up and running next week ?",question
"it'll be close , but we'll make it .",inform
"good . after stars.com starts paying us , we won't need vikam's cash anymore .",inform
"and if we don't need them , we won't need zina , either .",inform
do you like cooking ?,question
yes . i like cooking very much . i got this hobby when i was 12 years sold .,inform
why do you like it ?,question
i have no idea . i like cooking by myself . i like to taste delicious food .,inform
that's wonderful !,inform
"and i love trying new recipes , which i usually test with my friends . you can come , too .",directive
really ? i hope i can have a chance to taste it . don't forget to tell me .,commissive
certainly .,inform
anyone home ? jen !,question
i'm in the kitchen ... let yourself in !,inform
wow ! you're really working up a storm !,inform
i know . i've even worked up a sweat .,inform
you look like a cooking show host--only messier .,inform
you look so tan and healthy !,inform
thanks . i just got back from summer camp .,gratitude
how was it ?,question
great . i got to try so many things for the first time .,inform
like what ?,question
"i went sailing , fishing , and horseback riding .",inform
i ’ m so jealous .,inform
the counselors were so nice too . it was the best summer ever . except for all those mosquitoes !,inform
"diana , do you like the perfume i gave you ?",question
"it ’ s good . but to tell you the truth , i don ’ t wear perfume .",inform
i ’ m sorry . i didn ’ t know that .,inform
that ’ s all right . thank you all the same .,gratitude
"ah , ah , ah ...",inform
"all right , bill.here ' s your daily exercise schedule . you are to jog before breakfast .",directive
jog ?,commissive
"then , you are to walk to work .",directive
walk ?,commissive
thirty minutes in gym at lunch time .,directive
oh no .,commissive
"use the stairs , never the elevator .",directive
"oh , dear .",commissive
"and three times a week , you can either swim , play racketball , or hand ball .",directive
oh no .,commissive
"ok , you can stop now.it ' s time for the dance class .",directive
dance class ! i don't know how .,commissive
you will .,directive
oh ...,commissive
"hi bill , i saw your grandma yesterday .",greeting
oh where was that ?,question
i was running around the track at my college and there she was walking around the same track .,inform
grannie always tries to stay fit and healthy.she is always making us kids eat the proper foods .,inform
"well , it pays off for her.how old is she anyway ?",question
she will be 86 next month .,inform
that is truly amazing !,inform
i would like to register for a class today .,directive
"no problem , what class would you like to take ?",question
i would very much enjoy taking a psychology class.because i'm crazy .,directive
there are two classes that are still open .,inform
which days are these classes on ?,question
the first class is a tuesday and thursday class from two to three .,inform
what about the other class ?,question
the other class is on monday and wednesday from 10 am - 12 .,inform
are you sure there are no more open classes ?,question
i'm positive .,inform
sign me up for monday and wednesday .,directive
"okay , i'll sign you up .",commissive
"dad , why are you taping the windows ?",question
"honey , a typhoon is coming .",inform
"really ? wow , i don't have to go to school tomorrow .",inform
"jenny , come and help , we need to prepare more food .",directive
ok . dad ! i'm coming .,commissive
"hi , my name is lean , and i'm from russia .",greeting
"nice to meet you , lean . my name is alike . i'm from japan .",inform
to me english is a difficult language .,inform
a second language is always difficult .,inform
"true , but english is harder than most . it's a crazy language .",inform
a crazy language ? why do you say that ?,question
one letter can have several pronunciations and one word can have several meanings .,inform
no wonder you say english is a crazy language .,inform
can i help you ?,question
"i hope so . i'm looking for some material for a paper i'm writing , and i'm not quite sure where to look .",directive
i'll certainly try to help you . what topic is your paper on ?,question
my paper is on the influence of television on children .,inform
there are several possible sources you might use for that topic . i suggest you use the computer and the computer will give you a list of every scientific journal that talks about children and television .,directive
thank you for you help .,gratitude
here ’ s your hot dog and beer . what happened ? did i miss anything ?,question
"yeah , cal ripen just hit a home run .",confirmation
what ’ s the score ?,question
"well it was 3 to 4 , but ripen ’ s home run made it 5 to 4 since another player was on first base .",inform
so baltimore is winning ?,question
right .,inform
this is a really great place to watch a baseball game .,inform
"yeah , there isn ’ t a bad seat in the place .",confirmation
"the fans are great here , too . not like in philadelphia .",inform
it was a great idea to spend a day watching a game .,inform
"yeah , it reminds you why they say baseball is america ’ s favorite pastime .",confirmation
how do you like the pizza here ?,question
perfect . it really hits the spot .,inform
do you have a light ?,question
"sorry , i don't smoke .",inform
i was scared stiff of giving my first performance .,inform
were you ? your performance was excellent .,inform
thank you for your kindly words .,gratitude
excuse me . could you please take a picture of us with this camera ?,directive
sure . which button do i press to shoot ?,question
this one .,inform
do i have to focus it ?,question
"no , this is a focus-free camera . all you have to do is point and press the button .",inform
all right . say cheese !,commissive
every country should face the history .,inform
"yeah , we don ’ t live in the vacuum . we have traditional values and long but different history .",confirmation
"sometimes , we , human beings , really had done something wrong , so we should admit it at first .",inform
but there is always somebody who wants to turn his back on the true history .,inform
"i believe such things won ’ t be realized , just daydreaming .",inform
"do you like traveling , kathy ?",question
"i like traveling for pleasure to get places for vacation for instance . but i don ’ t like traveling to work , waiting for buses , or ...",inform
or getting stuck in traffic jams when you ’ re driving .,inform
exactly .,confirmation
your house is too small . why not buy a big one .,question
i do wish i could afford one .,inform
you can get a loan from the bank . you know lpf program provides low cost loans for participants home purchases .,directive
of course i know that . but don't you notice that the house price is skyrocketing ?,commissive
"how do you do , prof.smith .",inform
"how do you do , ms . yang.you speak very good english .",inform
thank you . i begin to like english even when i was a child .,gratitude
where did you learn it ?,question
"at school , in china.this is my first time to be out of my own country .",inform
it's amazing .,inform
do you want black or white coffee ?,question
"white , please",inform
look ! there's a folk concert tomorrow evening . do you want to go ?,directive
i don't like folk music very much .,commissive
what kind of music do you like ?,question
i like classical music . do you ?,question
not very much . classical music sends me to sleep,inform
i don't believe you .,inform
it ’ s true .,inform
you are funny !,inform
so are you ! how about another coffee ?,directive
what do you like to do in your spare time ?,question
